NAME,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,target
AAPTOS_AAPTOS,1,0,0,0,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
ALECTONA_MILLARI,0,2,2,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0
CLIONA_CARTERI,0,2,2,2,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0
CLIONA_CELATA,0,2,2,2,0,0,2,0,0,0,0,0,1,1,1,0,1,3,1,0,1,0,0
CLIONA_LABYRINTHICA,0,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CLIONA_SCHMIDTI,0,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0
CLIONA_VIRIDIS,1,1,0,0,4,0,1,0,0,0,0,0,1,1,1,1,1,3,1,0,1,0,0
DIPLASTRELLA_BISTELLATA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
DIPLASTRELLA_ORNATA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
LAXOSUBERITES_ECTYONIMUS,0,2,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LAXOSUBERITES_FERRERHERNANDEZI,0,2,2,2,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
LAXOSUBERITES_RUGOSUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
OXYCORDYLA_PELLITA,1,0,1,0,1,0,3,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0
POLYMASTIA_AGGLUTINARIS,1,0,0,1,3,0,3,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0
POLYMASTIA_CONIGERA,1,0,0,0,2,0,3,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0
POLYMASTIA_CORTICATA,1,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,4,1,0,0,0,0
POLYMASTIA_ECTOFIBROSA,1,1,0,0,2,0,3,0,0,0,1,0,0,0,2,0,0,2,1,0,0,0,0
POLYMASTIA_FUSCA,1,0,0,0,3,0,3,0,0,0,1,0,0,0,2,0,0,4,1,0,0,0,0
POLYMASTIA_GRIMALDI,1,1,0,0,3,0,3,0,0,0,1,0,0,0,3,0,0,4,1,0,0,0,0
POLYMASTIA_HIRSUTA,1,0,0,0,4,0,3,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0
POLYMASTIA_INFLATA,1,0,0,0,3,0,3,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0
POLYMASTIA_INFRAPILOSA,1,0,0,0,4,0,3,0,0,0,1,0,0,0,3,0,0,3,1,0,0,0,0
POLYMASTIA_INVAGINATA,1,0,0,0,2,0,3,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0
POLYMASTIA_LITTORALIS,1,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0
POLYMASTIA_MAMMILLARIS,1,0,0,0,2,0,3,0,0,0,0,0,0,1,3,0,0,3,1,0,0,0,0
POLYMASTIA_MARTAE,1,0,0,0,2,0,3,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0
POLYMASTIA_POLYTYLOTA,1,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0
POLYMASTIA_RADIOSA,1,0,0,0,3,1,3,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0
POLYMASTIA_ROBUSTA,1,0,0,0,3,0,2,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0
POLYMASTIA_SPINULA,1,0,0,0,2,1,3,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0
POLYMASTIA_TENAX,1,0,0,0,4,0,3,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0
POLYMASTIA_TIS1ERI,1,0,0,0,2,0,3,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,0
POLYMASTIA_UBERRIMA,1,0,0,0,4,0,3,0,0,0,0,1,0,0,3,0,0,3,1,0,0,0,0
PROSUBERITES_EPIPHYTUM,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
PROSUBERITES_LONGISPINA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
PROSUBERITES_RUGOSUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
PROTELEIA_SOLLA1,1,0,0,0,3,0,3,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,0
PSEUDOSUBERITES_HYALINUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
PSEUDOSUBERITES_SULFUREUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
QUA1LINA_BREVIS,1,0,0,0,2,0,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0
QUA1LINA_INTERMEDIA,1,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0
QUA1LINA_RICHARDII,1,0,0,0,2,0,2,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0
RHIZAXINELLA_BISETA,0,2,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
RHIZAXINELLA_ELONGATA,0,2,2,2,0,0,2,0,1,1,0,0,0,1,3,0,0,0,0,0,0,1,3
RHIZAXINELLA_PYRIFERA,0,2,2,2,0,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,2
RHIZAXINELLA_UNISETA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0
RIDLEYA_OVIFORMIS,1,0,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
SPHAEROTYLUS_ANTARCTICUS,1,0,0,0,3,0,3,0,0,0,1,0,0,1,3,0,0,2,1,0,0,0,0
SPHAEROTYLUS_CAPITATUS,1,0,0,0,3,0,3,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0
SPINULARIA_SPINULARIA,1,0,0,0,2,0,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0
SPIRASTRELLA_CUNCTATRIX,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
SPIRASTRELLA_MINAX,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
STYLOCORDYLA_BOREALIS,1,0,0,0,1,0,3,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0
SUBERITES_CAMINATUS,1,0,0,0,3,0,2,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0
SUBERITES_CARNOSUS_V.INCRUSTANS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
SUBERITES_CARNOSUS_V.RAMOSUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
SUBERITES_CARNOSUS_V.TYPICUS,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
SUBERITES_DOMUNCULA,0,2,2,2,0,0,3,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
SUBERITES_FICUS,0,2,2,2,0,0,3,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,2
SUBERITES_GIBBO1CEPS,0,2,2,2,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
TENTORIUM_PAPILLATUS,1,0,0,0,3,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
TENTORIUM_SEMISUBERITES,1,0,0,0,3,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
TERPIOS_FUGAX,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TETHYA_AURANTIUM,1,1,0,0,4,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0
TETHYA_CITRINA,1,0,0,0,4,0,1,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0
TIMEA_CHONDRILLOIDES,0,2,2,2,0,0,1,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0
TIMEA_HALLEZI,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
TIMEA_MIXTA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0
TIMEA_STELLATA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0
TIMEA_UNISTELLATA,0,2,2,2,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
TRACHYTELEIA_STEPHEN1,1,0,0,0,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
TRICHOSTEMA_HEMISPHAERICUM,1,0,0,0,4,0,3,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,3
TRICHOSTEMA_SAR1,1,0,0,0,3,0,3,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,3
TYLEXOCLADUS_JOUBINI,1,0,0,0,3,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
WEBERELLA_BURSA,1,1,0,0,3,0,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0
WEBERELLA_VERRUCOSA,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0
